Year,Small Scale Manufacturing,Large Scale Manufacturing,Slaughtering Manufacturing,Fishing,Livestock,Crops,Forestry,Total Agriculture,Cotton Ginning,Important Crops,Other Crops,Finance & Insurance,General Government Services,Housing Services,Other Private Services,Transport, Storage & Communication,Wholesale & Retail Trade,Services Total,Income Per Capita,GDP Current Prices,GDP Constant Prices,Income Per Capita,Gross public Dept,Domastic Debt,Na,Gross Public Debt
2022,0.0198,0.0924,0.0121,0.0032,0.1404,0.0784,0.0049,0.2268,0.0029,0.0441,0.0314,0.0493,-0.0123,0.0407,0.0376,0.0542,0.1004,0.0619,0.3318,1797.5,62677555,38755090,1797.5,Na,Na,Na,PKR (Billions)
2021,0.0193,0.0886,0.0121,0.0033,0.1441,0.078,0.0048,0.2302,0.0028,0.0436,0.0316,0.0594,-0.0055,0.041,0.0498,0.0506,0.1058,0.06,0.3611,1676.5,52213299,36572644,1676.5,0.4,0.55,Na,39859
2020,0.0187,0.084,0.012,0.0035,0.1488,0.0778,0.0051,0.2353,0.0034,0.0436,0.0309,-0.0222,0.03,0.0408,0.05,-0.0894,-0.0526,-0.0121,-0.0555,1457.6,44746876,34586665,1457.6,0.46,0.558,Na,36398.55099
2019,0.0183,0.0938,0.0113,0.0034,0.1434,0.0725,0.0049,0.2243,0.0035,0.041,0.028,0.061,0.0347,0.0412,0.0617,0.0763,0.0355,0.05,0.3604,1577.6,41110164,34916041,1577.6,0.4567,0.54,Na,32707.87027
2018,0.0173,0.0934,0.011,0.0035,0.1427,0.0782,0.0047,0.2291,0.0041,0.0462,0.0279,0.0876,0.1093,0.041,0.0763,0.0331,0.0676,0.0595,0.4744,1767.9,36514166,33859620,1767.9,0.3344,0.4742,Na,24952.86936
2017,0.0169,0.0927,0.011,0.0037,0.1461,0.0793,0.0049,0.234,0.004,0.0471,0.0282,0.0823,0.0614,0.0402,0.0737,0.0408,0.0645,0.0562,0.4191,1723,33174970,31914207,1723,0.2739,0.4646,Na,21408.66077
2016,0.0162,0.0931,0.0109,0.0038,0.1485,0.0819,0.0053,0.2395,0.004,0.0479,0.0299,0.0642,0.0972,0.0399,0.0677,0.0489,0.0473,0.0572,0.4224,1639.7,30508205,30508205,1639.7,0.2664,0.4686,Na,19676.63694
2015,0.0173,0.109,0.0093,0.004,0.117,0.082,0.004,0.2071,0.006,0.0521,0.0235,0.0635,0.0482,0.0399,0.0606,0.0507,0.026,0.0436,0.3325,1514,26089690,10631649,1514,0.2417,0.4443,Na,17380.16007
2014,0.0166,0.1098,0.0094,0.004,0.117,0.085,0.005,0.211,0.006,0.0551,0.0239,0.0431,0.0286,0.04,0.0622,0.039,0.0477,0.0446,0.3052,1388.8,24028897,10217056,1388.8,0.2562,0.4333,Na,15991.27079
2013,0.016,0.1084,0.0094,0.004,0.119,0.086,0.005,0.214,0.006,0.0535,0.0263,0.0832,0.1132,0.04,0.0526,0.0403,0.0353,0.0513,0.4159,1333.7,21503341,9819055,1333.7,0.2696,0.4253,Na,14291.69964
2012,0.015,0.107,0.009,0.005,0.119,0.088,0.005,0.216,0.007,0.055,0.026,0.0164,0.1106,0.0399,0.064,0.0461,0.0166,0.053,0.3466,1320.5,19361511,9470255,1320.5,0.3091,0.381,Na,12696.71232
2011,0.015,0.11,0.009,0.005,0.119,0.088,0.005,0.217,0.006,0.053,0.0209,-0.0422,0.1406,0.0402,0.0663,0.0242,0.0211,0.039,0.2892,1274.1,17647553,9120336,1274.1,0.3122,0.3291,Na,10770.84623
2010,0.014,0.113,0.009,0.006,0.119,0.091,0.005,0.22,0.007,0.054,0.0209,-0.0326,0.0797,0.0401,0.0575,0.0296,0.0179,0.032,0.2242,1072.4,14248547,8801394,1072.4,0.3539,0.313,Na,9010.364437
2009,0.013,0.115,0.009,0.006,0.118,0.097,0.005,0.225,0.007,0.058,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,12542265,8579987,Na,Na,Na,Na,Na
2008,0.012,0.123,0.009,0.006,0.116,0.093,0.005,0.219,0.007,0.054,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,10355255,8549148,Na,Na,Na,Na,Na
2007,0.012,0.122,0.009,0.005,0.117,0.098,0.004,0.225,0.007,0.059,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,8735766,8142696,Na,Na,Na,Na,Na
2006,0.012,0.117,0.009,0.006,0.121,0.099,0.005,0.23,0.008,0.058,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,7715777,7715777,Na,Na,Na,Na,Na
